Error No. (DEC),Error No. (HEX),Description
2148093952,0x80095000,The key is not exportable.
2148093953,0x80095001,You cannot add the root CA certificate into your local store.
2148093954,0x80095002,The key archival hash attribute was not found in the response.
2148093955,0x80095003,An unexpetced key archival hash attribute was found in the response.
2148093956,0x80095004,There is a key archival hash mismatch between the request and the response.
2148093957,0x80095005,Signing certificate cannot include SMIME extension.
2148098049,0x80096001,A system-level error occurred while verifying trust.
2148098050,0x80096002,The certificate for the signer of the message is invalid or not found.
2148098051,0x80096003,One of the counter signatures was invalid.
2148098052,0x80096004,The signature of the certificate can not be verified.
2148098053,0x80096005,The timestamp signature and/or certificate could not be verified or is malformed.
2148098064,0x80096010,The digital signature of the object did not verify.
2148098073,0x80096019,A certificate's basic constraint extension has not been observed.
2148098078,0x8009601E,The certificate does not meet or contain the Authenticode financial extensions.
2148102145,0x80097001,Tried to reference a part of the file outside the proper range.
2148102146,0x80097002,Could not retrieve an object from the file.
2148102147,0x80097003,Could not find the head table in the file.
2148102148,0x80097004,The magic number in the head table is incorrect.
2148102149,0x80097005,The offset table has incorrect values.
2148102150,0x80097006,Duplicate table tags or tags out of alphabetical order.
2148102151,0x80097007,A table does not start on a long word boundary.
2148102152,0x80097008,First table does not appear after header information.
2148102153,0x80097009,Two or more tables overlap.
2148102154,0x8009700A,Too many pad bytes between tables or pad bytes are not 0.
2148102155,0x8009700B,File is too small to contain the last table.
2148102156,0x8009700C,A table checksum is incorrect.
2148102157,0x8009700D,The file checksum is incorrect.
2148102160,0x80097010,The signature does not have the correct attributes for the policy.
2148102161,0x80097011,The file did not pass the hints check.
2148102162,0x80097012,The file is not an OpenType file.
2148102163,0x80097013,"Failed on a file operation (open, map, read, write)."
2148102164,0x80097014,A call to a CryptoAPI function failed.
2148102165,0x80097015,There is a bad version number in the file.
2148102166,0x80097016,The structure of the DSIG table is incorrect.
2148102167,0x80097017,A check failed in a partially constant table.
2148102168,0x80097018,Some kind of structural error.
2148204545,0x800B0001,Unknown trust provider.
2148204546,0x800B0002,The trust verification action specified is not supported by the specified trust provider.
2148204547,0x800B0003,The form specified for the subject is not one supported or known by the specified trust provider.
2148204548,0x800B0004,The subject is not trusted for the specified action.
2148204549,0x800B0005,Error due to problem in ASN.1 encoding process.
2148204550,0x800B0006,Error due to problem in ASN.1 decoding process.
2148204551,0x800B0007,"Reading / writing Extensions where Attributes are appropriate, and visa versa."
2148204552,0x800B0008,Unspecified cryptographic failure.
2148204553,0x800B0009,The size of the data could not be determined.
2148204554,0x800B000A,The size of the indefinite-sized data could not be determined.
2148204555,0x800B000B,This object does not read and write self-sizing data.
2148204800,0x800B0100,No signature was present in the subject.
2148204801,0x800B0101,A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
2148204802,0x800B0102,The validity periods of the certification chain do not nest correctly.
2148204803,0x800B0103,A certificate that can only be used as an end-entity is being used as a CA or visa versa.
2148204804,0x800B0104,A path length constraint in the certification chain has been violated.
2148204805,0x800B0105,A certificate contains an unknown extension that is marked 'critical'.
2148204806,0x800B0106,A certificate being used for a purpose other than the ones specified by its CA.
2148204807,0x800B0107,A parent of a given certificate in fact did not issue that child certificate.
2148204808,0x800B0108,"A certificate is missing or has an empty value for an important field, such as a subject or issuer name."
2148204809,0x800B0109,"A certificate chain processed, but terminated in a root certificate which is not trusted by the trust provider."
2148204810,0x800B010A,An internal certificate chaining error has occurred.
2148204811,0x800B010B,Generic trust failure.
2148204812,0x800B010C,A certificate was explicitly revoked by its issuer.
2148204813,0x800B010D,The certification path terminates with the test root which is not trusted with the current policy settings.
2148204814,0x800B010E,The revocation process could not continue - the certificate(s) could not be checked.
2148204815,0x800B010F,The certificate's CN name does not match the passed value.
2148204816,0x800B0110,The certificate is not valid for the requested usage.
2148204817,0x800B0111,The certificate was explicitly marked as untrusted by the user.
2148204818,0x800B0112,"A certification chain processed correctly, but one of the CA certificates is not trusted by the policy provider."
2148204819,0x800B0113,The certificate has invalid policy.
2148204820,0x800B0114,The certificate has an invalid name. The name is not included in the permitted list or is explicitly excluded.
2148466688,0x800F0000,A non-empty line was encountered in the INF before the start of a section.
2148466689,0x800F0001,"A section name marker in the INF is not complete, or does not exist on a line by itself."
2148466690,0x800F0002,An INF section was encountered whose name exceeds the maximum section name length.
2148466691,0x800F0003,The syntax of the INF is invalid.
2148466944,0x800F0100,The style of the INF is different than what was requested.
2148466945,0x800F0101,The required section was not found in the INF.
2148466946,0x800F0102,The required line was not found in the INF.
2148466947,0x800F0103,The files affected by the installation of this file queue have not been backed up for uninstall.
2148467200,0x800F0200,The INF or the device information set or element does not have an associated install class.
2148467201,0x800F0201,The INF or the device information set or element does not match the specified install class.
2148467202,0x800F0202,An existing device was found that is a duplicate of the device being manually installed.
2148467203,0x800F0203,There is no driver selected for the device information set or element.
2148467204,0x800F0204,The requested device registry key does not exist.
2148467205,0x800F0205,The device instance name is invalid.
2148467206,0x800F0206,The install class is not present or is invalid.
2148467207,0x800F0207,The device instance cannot be created because it already exists.
2148467208,0x800F0208,The operation cannot be performed on a device information element that has not been registered.
2148467209,0x800F0209,The device property code is invalid.
2148467210,0x800F020A,The INF from which a driver list is to be built does not exist.
2148467211,0x800F020B,The device instance does not exist in the hardware tree.
2148467212,0x800F020C,The icon representing this install class cannot be loaded.
2148467213,0x800F020D,The class installer registry entry is invalid.
2148467214,0x800F020E,The class installer has indicated that the default action should be performed for this installation request.
2148467215,0x800F020F,The operation does not require any files to be copied.
2148467216,0x800F0210,The specified hardware profile does not exist.
2148467217,0x800F0211,There is no device information element currently selected for this device information set.
2148467218,0x800F0212,The operation cannot be performed because the device information set is locked.
2148467219,0x800F0213,The operation cannot be performed because the device information element is locked.
2148467220,0x800F0214,The specified path does not contain any applicable device INFs.
2148467221,0x800F0215,No class installer parameters have been set for the device information set or element.
2148467222,0x800F0216,The operation cannot be performed because the file queue is locked.
2148467223,0x800F0217,A service installation section in this INF is invalid.
2148467224,0x800F0218,There is no class driver list for the device information element.
2148467225,0x800F0219,The installation failed because a function driver was not specified for this device instance.
2148467226,0x800F021A,There is presently no default device interface designated for this interface class.
2148467227,0x800F021B,The operation cannot be performed because the device interface is currently active.
